"uid","article","citedjournal"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J HAZARD MATER"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J ENVIRON SCI-CHINA"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," ENVIRON SCI TECHNOL"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J COLLOID INTERF SCI"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," APPL SURF SCI"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," P INT C WAT POLL S"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," J ENVIRON SCI-CHINA"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CHEM ENG J"
2,"Behaviors and kinetics of toluene adsorption-desorption on activated carbons with varying pore structure"," CARBON"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J HAZARD MATER"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J IND ENG CHEM"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," FUEL PROCESS TECHNOL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J HAZARD MATER"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," RSC ADV"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," FUEL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," ENVIRON INT"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," BIORESOURCE TECHNOL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J TAIWAN INST CHEM E"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," APPL SURF SCI"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J IND ENG CHEM"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J IND ENG CHEM"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J IND ENG CHEM"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J HAZARD MATER"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," SEP PURIF TECHNOL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," PROCESS SAF ENVIRON"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J HAZARD MATER"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," DESALINATION"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," APPL SURF SCI"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J HAZARD MATER"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J ELECTRON SPECTROSC"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," DESALIN WATER TREAT"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM PHYS LETT"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J COLLOID INTERF SCI"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J ANAL APPL PYROL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," BIORESOURCE TECHNOL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," SUPERLATTICE MICROST"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," PHYS REV B"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEMOSPHERE"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," APPL SURF SCI"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," WATER AIR SOIL POLL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," BIORESOURCE TECHNOL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," MAT SCI ENG C-MATER"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," MUTAT RES-GEN TOX EN"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CARBON"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," BIORESOURCE TECHNOL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J RARE EARTH"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," DESALINATION"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," APPL SURF SCI"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," DESALINATION"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J ANAL APPL PYROL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J CONTAM HYDROL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," WATER SCI TECHNOL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," SCI TOTAL ENVIRON"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," COLLOID SURFACE A"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J COLLOID INTERF SCI"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," BIORESOURCE TECHNOL"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," J HAZARD MATER"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," CHEM ENG J"
3,"Comparison of activated carbon and iron/cerium modified activated carbon to remove methylene blue from wastewater"," FUEL PROCESS TECHNOL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J HYDROL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," T ASABE"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J AM WATER RESOUR AS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," HYDROL PROCESS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," CAN J FISH AQUAT SCI"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," EPA600387007"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," PROF GEOGR"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J ENVIRON MANAGE"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J GREAT LAKES RES"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J HYDROMETEOROL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J CLIMATE"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J HYDROL-REG STUD"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," HYDROL PROCESS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J CLIMATE"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," ENVIRON MODELL SOFTW"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J SOIL WATER CONSERV"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," WATER RESOUR MANAG"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," CLIM DYNAM"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," WATER ENVIRON J"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J HYDROL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," PLOS GENET"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," LIMNOL OCEANOGR"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," 3 IPCC"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J GEOPHYS RES-ATMOS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J AM WATER RESOUR AS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," [地理学报"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," BMC EVOL BIOL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," WATER RESOUR RES"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J GEOPHYS RES-ATMOS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," GLOBAL PLANET CHANGE"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," ENVIRON MODELL SOFTW"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," SCI TOTAL ENVIRON"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," HYDROL PROCESS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," HYDROL EARTH SYST SC"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," EOS T AM GEOPHYS UN"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," CLIMATE CHANGE 2007: THE PHYSICAL SCIENCE BASIS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J HYDROL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," P AM SOC AGR BIOL EN"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," HYDROL PROCESS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," SPECIAL REPORT EMISS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," CATENA"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," SOIL WATER ASSESSMEN"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," T ASABE"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J AM WATER RESOUR AS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," INT J AGR BIOL ENG"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," PROG PHYS GEOG"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J GEOPHYS RES-ATMOS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," P NATL ACAD SCI USA"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J HYDROL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," TECH B USDA"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J HYDROL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J ARID ENVIRON"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," REG ENVIRON CHANGE"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," FINAL REPORT IMPACTS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," GLOBAL BIOGEOCHEM CY"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," CLEAN-SOIL AIR WATER"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," STOCH ENV RES RISK A"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," THESIS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," 2 INT C SUST SYST EN"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," THESIS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," AGR WATER MANAGE"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," REMOTE SENS-BASEL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," AGR FOREST METEOROL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," HYDROL PROCESS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," ECOHYDROLOGY"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," HYDROLOG SCI J"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," J HYDROL"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," PRES PROSP TECHN PRE"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," SCI TOTAL ENVIRON"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," THESIS"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," WATER RESOUR MANAG"
4,"""Combined and synergistic effects of climate change and urbanization on water quality in the Wolf Bay watershed, southern Alabama"""," ENVIRON MODELL SOFTW"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," MICROB ECOL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," GLOBAL CHANGE BIOL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," AGR WATER MANAGE"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," PLANT SOIL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," ATMOS ENVIRON"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," J ENVIRON SCI-CHINA"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," SCIENCE"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," SCI REP-UK"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," GLOBAL CHANGE BIOL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," NUTR CYCL AGROECOSYS"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," GLOBAL CHANGE BIOL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," GLOBAL CHANGE BIOL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," FIELD CROP RES"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," PLANT SOIL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," SOIL SCI SOC AM J"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," NUTR CYCL AGROECOSYS"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," AUST J SOIL RES"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," AGR ECOSYST ENVIRON"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," AGR ECOSYST ENVIRON"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," J ENVIRON QUAL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," AGR ECOSYST ENVIRON"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," GLOBAL CHANGE BIOL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," AGR ECOSYST ENVIRON"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," GLOBAL CHANGE BIOL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," P NATL ACAD SCI USA"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," SOIL BIOL BIOCHEM"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," GLOBAL CHANGE BIOL"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," CLIMATE CHANGE 2014: MITIGATION OF CLIMATE CHANGE"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," EUR J SOIL SCI"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," AGR ECOSYST ENVIRON"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," PSYCHOL MED"
5,"""Water regime-nitrogen fertilizer incorporation interaction: Field study on methane and nitrous oxide emissions from a rice agroecosystem in Harbin, China"""," SCI TOTAL ENVIRON"
