"uid","article","citedjournal"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," POLICY STUD J"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," QUALITATIVE CONTENT"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," YB EUROPEAN ENV LAW"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," POLICY ANAL PRACTICE"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," 2014 ANN APSA C WASH"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," WEST EUR POLIT"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," EUROPEAN INTEGRATION"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUR PUBLIC POLICY"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," JCMS-J COMMON MARK S"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy",NA
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," ENVIRON POLICY GOV"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," LIVING REV EUROPEAN"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," CARROTS STICKS SERMO"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," PUBLIC POLICY PROGRA"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," WEST EUR POLIT"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," SSRN ELECT J"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," HDB PUBLIC POLICY"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," HDB PUBLIC ADM"
1,"Reconsidering EU Compliance: Implementation performance in the field of environmental policy"," J EUR PUBLIC POLICY"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," GLOBAL ENVIRON CHANG"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," GLOBAL ENVIRON CHANG"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," CONSERV BIOL"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," P NATL ACAD SCI USA"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ECOL SOC"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," J ENVIRON MANAGE"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," PRINCIPLES BUILDING"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," SPRINGER SER ENV MAN"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ECOL SOC"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ECOL SOC"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," POLICY SCI"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," P NATL ACAD SCI USA"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," TECHNOL FORECAST SOC"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," SCIENCE"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," PUBLIC ADMIN REV"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ECOL SOC"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," J ENVIRON PLANN MAN"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," SOC NATUR RESOUR"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," J COMMUNITY APPL SOC"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," BEIJER DISCUSSION PA"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ECOL ECON"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ECOL SOC"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," EUR J OPER RES"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," CONSERV LETT"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," J ENVIRON MANAGE"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," J RURAL STUD"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ECOL ECON"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," SUSTAINABILITY-BASEL"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," WORLD DEV"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ENVIRON EDUC RES"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ENVIRON SCI POLICY"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ENVIRON SCI POLICY"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," GLOBAL ENVIRON CHANG"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," BIOSPH RES LEARN SIT"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," MADR ACT PLAN"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," ENVIRON POLICY GOV"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," NJAS-WAGEN J LIFE SC"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," J ENVIRON PLANN MAN"
2,"""An Approach to Assess Learning Conditions, Effects and Outcomes in Environmental Governance"""," GLOBAL ENVIRON CHANG"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," NAT CLIM CHANGE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," GLOBAL ENVIRON CHANG"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," OECD C COMP CIT CLIM"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," SMHI KLIMATOLOGI"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ANSVAR NATUROLYCKA N"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," J PUBL ADM RES THEOR"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," FRONT ECOL ENVIRON"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," GLOBAL ENVIRON CHANG"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," GOVERNANCE SOCIAL PO"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," LEADING PUBLIC SECTOR INNOVATION: CO-CREATING FOR A BETTER SOCIETY"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," GLOBAL ENVIRON CHANG"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," AMBIO"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," SUSTAINABIL IN PRESS"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," GLOBAL ENVIRON CHANG"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," URBAN POLICY RES"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," 2 UNDP"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," HUM COST WEATH REL D"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," SOC SCI QUART"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," 2 HARV U JF KENN SCH"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ECOL SOC"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," EU RES INN POL AG NA"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," LOCAL ENVIRON"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," NAT RESOUR FORUM"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," CLIM POLICY"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," WORKING GROUP 2 CONT"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," 2278194 SSRN ID"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," WIRES CLIM CHANGE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ENVIRON SCI POLICY"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," URBAN CLIM"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ENERGY RES SOC SCI"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," COOPERATIVE ENV GOVE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," POLITICS ENV DISCOUR"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," KLIMATSAKRAT SKANE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," EUR PLAN STUD"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," COLLABORATIVE PLANNI"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," VAD AR RATTVIS KLIMA"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ROUT ADV CLIMATE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," NAT CLIM CHANGE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," CLIMATE CHANGE 2007"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ECOSYST SERV"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ENVIRON SCI POLICY"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ANNU REV ENV RESOUR"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ANAL CITIZENS ADAPTI"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," I INT EC POLICY WORK"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," MOT SEV"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," QUALITATIVE SOCIAL R"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," REG ENVIRON CHANGE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," J ENVIRON POL PLAN"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," Environmental Policy and Governance"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ENVIRON POLICY GOV"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ECOL SOC"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," SAGE DICT SOCIAL RES"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," 10061 ZEW"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," MOTESPLATS SEVED BRO"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," CLIMATIC CHANGE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," LOCAL ENVIRON"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ENVIRON POLICY GOV"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ENVIRON URBAN"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ENVIRON URBAN"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," HALSOPAVERKAN VARMAR"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," REG ENVIRON CHANGE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," HALLBAR UTVECKLING K"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," FOLKM RIK LAN KOMM 3"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," STAT CENTR HUSH BOEN"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," 200760 SCCV SOU"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," WWWFOREUROPE WORKING"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," SLUTR SVENSK KLIM SV"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," J ENVIRON POL PLAN"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," EC CLIMATE CHANGE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," SOF VAG SLUMM"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," SKARPT TILLS RISK GO"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," J ENVIRON POL PLAN"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," GLOBAL ENVIRON CHANG"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," WATER-SUI"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," REG ENVIRON CHANGE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," 21 C PART"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," UN WORLD C DIS RISK"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," TERM DIS RISK RED"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ROUTL CRIT INTRO URB"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," CLIMATIC CHANGE"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ENVIRON POLICY GOV"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," ECOL SOC"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," GLOBAL ENVIRON CHANG"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," URBAN CLIM"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," RISK NATURAL HAZARDS"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," EARTH HOUR KLIM 2015"
3,"Collaborative Governance for Climate Change Adaptation: Mapping citizen-municipality interactions"," CASE STUDY RES DESIG"""
4,"Institutional externalities and actor performance in polycentric governance systems"," J POLIT"
4,"Institutional externalities and actor performance in polycentric governance systems"," PUBLIC ADMIN REV"
4,"Institutional externalities and actor performance in polycentric governance systems"," REV POLICY RES"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLITICAL BEHAV"
4,"Institutional externalities and actor performance in polycentric governance systems"," SOC NATUR RESOUR"
4,"Institutional externalities and actor performance in polycentric governance systems"," J PUBL ADM RES THEOR"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLICY STUD J"
4,"Institutional externalities and actor performance in polycentric governance systems"," PUBLIC ADMIN REV"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLICY SCI"
4,"Institutional externalities and actor performance in polycentric governance systems"," J COMMON MARK STUD"
4,"Institutional externalities and actor performance in polycentric governance systems"," STATE LOCAL GOVT REV"
4,"Institutional externalities and actor performance in polycentric governance systems"," SOC NETWORKS"
4,"Institutional externalities and actor performance in polycentric governance systems"," ENVIRON SCI POLICY"
4,"Institutional externalities and actor performance in polycentric governance systems"," ECOL ECON"
4,"Institutional externalities and actor performance in polycentric governance systems"," I SOCIAL CONFLICT"
4,"Institutional externalities and actor performance in polycentric governance systems"," AM ECON REV"
4,"Institutional externalities and actor performance in polycentric governance systems"," J POLICY ANAL MANAG"
4,"Institutional externalities and actor performance in polycentric governance systems"," EUR J POLIT RES"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLICY STUD J"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLIT RES QUART"
4,"Institutional externalities and actor performance in polycentric governance systems"," PUBLIC ADMIN REV"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLICY STUD J"
4,"Institutional externalities and actor performance in polycentric governance systems"," AM J POLIT SCI"
4,"Institutional externalities and actor performance in polycentric governance systems"," J WATER RES PLAN MAN"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLICY STUD J"
4,"Institutional externalities and actor performance in polycentric governance systems"," ENVIRON PLANN A"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLICY STUD J"
4,"Institutional externalities and actor performance in polycentric governance systems"," J PUBL ADM RES THEOR"
4,"Institutional externalities and actor performance in polycentric governance systems"," AM POLIT SCI REV"
4,"Institutional externalities and actor performance in polycentric governance systems"," J PUBLIC POLICY"
4,"Institutional externalities and actor performance in polycentric governance systems"," JCMS-J COMMON MARK S"
4,"Institutional externalities and actor performance in polycentric governance systems"," GAMES REAL ACTORS PL"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLICY SCI"
4,"Institutional externalities and actor performance in polycentric governance systems"," J PUBL ADM RES THEOR"
4,"Institutional externalities and actor performance in polycentric governance systems"," ARTIF LIFE"
4,"Institutional externalities and actor performance in polycentric governance systems"," PUBLIC ADMIN REV"
4,"Institutional externalities and actor performance in polycentric governance systems"," POLICY STUD J"
5,"A semiautomated approach to analyzing polycentricity"," GOVERNANCE"
5,"A semiautomated approach to analyzing polycentricity"," POLICY SCI"
5,"A semiautomated approach to analyzing polycentricity"," ANNU REV LAW SOC SCI"
5,"A semiautomated approach to analyzing polycentricity"," PUBLIUS J FEDERALISM"
5,"A semiautomated approach to analyzing polycentricity"," AUTOMAP SOFTWARE NET"
5,"A semiautomated approach to analyzing polycentricity"," POLICY STUD J"
5,"A semiautomated approach to analyzing polycentricity"," AM POLIT SCI REV"
5,"A semiautomated approach to analyzing polycentricity"," ANN ASSOC AM GEOGR"
5,"A semiautomated approach to analyzing polycentricity"," THESIS"
5,"A semiautomated approach to analyzing polycentricity"," URBAN AFF REV"
5,"A semiautomated approach to analyzing polycentricity"," PUBLIC ADMIN REV"
5,"A semiautomated approach to analyzing polycentricity"," DEMOCRACY PLURAL SOC"
5,"A semiautomated approach to analyzing polycentricity"," POLICY STUD J"
5,"A semiautomated approach to analyzing polycentricity"," POLICY STUD J"
5,"A semiautomated approach to analyzing polycentricity"," P NATL ACAD SCI USA"
5,"A semiautomated approach to analyzing polycentricity"," POLICY STUD J"
5,"A semiautomated approach to analyzing polycentricity"," PUBLIUS J FEDERALISM"
5,"A semiautomated approach to analyzing polycentricity"," UNDERSTANDING INSTITUTIONAL DIVERSITY"
5,"A semiautomated approach to analyzing polycentricity"," PUBLIUS J FEDERALISM"
5,"A semiautomated approach to analyzing polycentricity"," AM POLIT SCI REV"
5,"A semiautomated approach to analyzing polycentricity"," GLOBAL ENVIRON CHANG"
5,"A semiautomated approach to analyzing polycentricity"," COMP POLIT"
5,"A semiautomated approach to analyzing polycentricity"," POLICY STUD J"
5,"A semiautomated approach to analyzing polycentricity"," COL STAT PROF EN EST"
5,"A semiautomated approach to analyzing polycentricity"," ENVIRON POLICY GOV"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," ENVIRON POLIT"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," GEOFORUM"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," J ENVIRON POL PLAN"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," EARTHS FUTURE"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," MANAGING ADAPTATION"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," SALIENCE CREDIBILITY"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," FACULTY RES WORKING"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," LOC RESP CLIM CHANG"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," ENVIRON SCI POLICY"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," EUR RES INN ROADM CL"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," ENVIRON SCI POLICY"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," GLOBAL ENVIRON CHANG"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," WIRES CLIM CHANGE"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," CLIMATE CHANGE 2014: IMPACTS"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," GLOBAL ENVIRON CHANG"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," 052011 UMW"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," 042015 UMW"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," ANNU REV ENV RESOUR"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," NAT CLIM CHANGE"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," NAT CLIM CHANGE"
6,"Why popular support tools on climate change adaptation have difficulties in reaching local policy-makers: Qualitative insights from the UK and Germany"," LOCAL GOV STUD"
