"uid1","article","citedjournal"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," ECOL INDIC"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," GEOGR REV"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," NAT CLIM CHANGE"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," CIT CLIM CHANG GLOB"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," HYDRO1K EUR"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," COMPLEXO INCENDIOS P"
2,"""Future heat-waves, droughts and floods in 571 European cities"""," NAT CLIM CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," EARTH SYST DYN"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," EARTHS FUTURE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CLIMATIC CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," SCIENCE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NAT HAZARD EARTH SYS"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENVIRON POLLUT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," J CLIMATE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," Q J ROY METEOR SOC"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CLIMATIC CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," GEOPHYS RES LETT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CLIM DYNAM"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NAT CLIM CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," GEOPHYS RES LETT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NAT GEOSCI"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CLIM DYNAM"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CRIT REV ENV SCI TEC"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," Lancet Planet Health"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," REV GEOPHYS"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENVIRON RES LETT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENVIRON HEALTH PERSP"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," SCI ADV"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," B AM METEOROL SOC"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENVIRON RES LETT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NAT CLIM CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENVIRON RES LETT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NAT CLIM CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENVIRON INT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CLIMATIC CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENV RES LETT UNPUB"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENV HLTH PERSPEC"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," SCI REP-UK"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," SCIENCE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," GEOPHYS RES LETT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," HYDROL EARTH SYST SC"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENVIRON RES LETT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NAT CLIM CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NATURE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ESTIMATION GRIDDED P"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," INT J ENV RES PUB HE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NAT CLIM CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," J CLIMATE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ATMOS RES"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," SCI REP-UK"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NAT CLIM CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CLIMATIC CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CR BIOL"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," J APPL METEOROL"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming",NA
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," SCI REP-UK"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENVIRON RES LETT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENVIRON RES LETT"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," J GEOPHYS RES-ATMOS"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," EARTH SYST DYNAM"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," MANAGING RISKS EXTRE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," NATURE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," J GEOPHYS RES-ATMOS"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," J GEOPHYS RES-ATMOS"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," J APPL METEOROL"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming",NA
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CLIMATIC CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CLIMATIC CHANGE"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," CLIM DYNAM"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," ENV HLTH PERSPEC"
3,"Extreme heat waves under 1.5 degrees C and 2 degrees C global warming"," SCI TOTAL ENVIRON"
4,"Interactions between urban heat islands and heat waves",NA
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," GEOPHYS RES LETT"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," CLIM DYNAM"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," SCIENCE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," WEATHER"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," J SCI MED SPORT"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NATURE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," GEOSCI MODEL DEV"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NAT CLIM CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," WEATHER CLIM SOC"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," CLIMATIC CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," P NATL ACAD SCI USA"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," MON WEATHER REV"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," GEOPHYS RES LETT"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NAT CLIM CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NAT CLIM CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," INT J EPIDEMIOL"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," SCI ADV"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," PREHOSP DISASTER MED"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," PUBLIC HEALTH"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," CLIMATE CHANGE IMPAC"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," CURR CLIM CHANGE REP"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," GEOPHYS RES LETT"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," SCI ADV"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NAT CLIM CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," B AM METEOROL SOC"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," GLOBAL HEALTH ACTION"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," GLOBAL HEALTH ACTION"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," ARCH ENVIRON OCCUP H"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," CLIMATIC CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," SCI REP-UK"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," J CLIMATE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NATURE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NAT CLIM CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," GEOPHYS RES LETT"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," BUILD ENVIRON"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," AM J PREV MED"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," SCIENCE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NAT GEOSCI"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," CLIMATIC CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NAT CLIM CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," INT J ENV RES PUB HE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," P NATL ACAD SCI USA"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NAT CLIM CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," P NATL ACAD SCI USA"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," CLIMATIC CHANGE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NATURE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," B AM METEOROL SOC"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," ESAPWP228 UN DEP EC"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," EUR J PUBLIC HEALTH"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," 32 OXF"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NATURE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," INT J CLIMATOL"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," GEOPHYS RES LETT"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," NATURE"
5,"Temperature and humidity based projections of a rapid rise in global heat stress exposure during the 21st century"," LOSS DAMAGE ROLE ECO"""
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," BIOGEOSCIENCES"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ENVIRON CONSERV"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," AGR ECOSYST ENVIRON"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," NAT CLIM CHANGE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," EARTH SURF PROC LAND"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ARCH ENV SCI"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ECOL MONOGR"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," GEODERMA"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," P NATL ACAD SCI USA"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ECOSYST SERV"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," GLOBAL BIOGEOCHEM CY"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," PLOS ONE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," J ECOL"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," OCEANOGRAPHY FROM SPACE: REVISITED"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," GLOBAL BIOGEOCHEM CY"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," NAT GEOSCI"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," MAR FRESHWATER RES"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," P NATL ACAD SCI USA"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," REMOTE SENS ENVIRON"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ENVIRON CONSERV"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," CONSERV BIOL"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," SPAT STAT-NETH"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," Climatic Change"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," GLOBAL ECOL BIOGEOGR"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," REMOTE SENS ENVIRON"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," NAT CLIM CHANGE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," GLOBAL ECOL BIOGEOGR"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," SCIENCE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," PLOS ONE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," COASTAL BLUE CARBON"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," FRONT ECOL ENVIRON"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," BIOGEOSCIENCES"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," CONSERV LETT"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ENVIRON RES LETT"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," FACTORS SOIL FORMATI"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," J MAR SCI ENG"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," GLOBAL CHANGE BIOL"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," 221 CIFOR"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," 86 CIFOR"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," FRONT ECOL ENVIRON"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," WETL ECOL MANAG"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ECOL APPL"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," WETLANDS"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," NEW PHYTOL"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ECOSYSTEMS"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ECOSYSTEMS"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," WETL ECOL MANAG"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," GEODERMA"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," J MACH LEARN RES"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," NATURE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," NAT CLIM CHANGE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," MACHINE LEARNING PRO"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," AQUAT BOT"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," SCI TOTAL ENVIRON"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," PLOS ONE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ESTUAR COAST SHELF S"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," R LANG DEF"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," P NATL ACAD SCI USA"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," HYDROBIOLOGIA"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," SCIENCE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," P NATL ACAD SCI USA"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," J GEOPHYS RES-BIOGEO"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," P NATL ACAD SCI USA"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," PHOTOGRAMM ENG REM S"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," MANGROVE SPECIES ZON"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," MANGROVES COASTAL DE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," WORLD ATLAS MANGROVE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," WETL ECOL MANAG"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," GLOBAL BIOGEOCHEM CY"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," NATURE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," BIOSCIENCE"
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution",NA
6,"A global map of mangrove forest soil carbon at 30 m spatial resolution"," ARXIV150804409"""
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," HYDROL EARTH SYST SC"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," J GEOPHYS RES-ATMOS"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIMATE CHANGE 2013"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," Climate Services"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIMATIC CHANGE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," GEOPHYS RES LETT"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIM DYNAM"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIM DYNAM"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," NAT CLIM CHANGE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," ANNU REV ENV RESOUR"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," GEOSCI MODEL DEV"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIMATIC CHANGE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," B AM METEOROL SOC"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," B AM METEOROL SOC"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," WIRES CLIM CHANGE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," J CLIMATE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIMATIC CHANGE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," COORDINATED REGIONAL"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," NAT CLIM CHANGE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIM RES"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," ENV RES LETT"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," GEOPHYS RES LETT"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," ENV RES LETT"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," ENV RES LETT"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIM DYNAM"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIMATIC CHANGE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," J CLIMATE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," ENV RES LETT"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," CLIMATIC CHANGE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," ENV RES LETT"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," Climate Services"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," EARTH SYST DYNAM"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," B AM METEOROL SOC"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," ENVIRON RES LETT"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," REP C PART ITS 16 SE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," ENVIRON RES LETT"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," SCEN DER GLOB CO2 RE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," EARTHS FUTURE"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," ENVIRON MODELL SOFTW"
7,"The effects of 1.5 and 2 degrees of global warming on Africa in the CORDEX ensemble"," WIRES CLIM CHANGE"
8,"""Multi-model ensemble projections of European river floods and high flows at 1.5, 2, and 3 degrees global warming"""," HYDROL EARTH SYST SC"
8,"""Multi-model ensemble projections of European river floods and high flows at 1.5, 2, and 3 degrees global warming"""," AMBIO"
8,"""Multi-model ensemble projections of European river floods and high flows at 1.5, 2, and 3 degrees global warming""",NA
8,"""Multi-model ensemble projections of European river floods and high flows at 1.5, 2, and 3 degrees global warming"""," HYDROL EARTH SYST SC"
8,"""Multi-model ensemble projections of European river floods and high flows at 1.5, 2, and 3 degrees global warming"""," HYDROL PROCESS"
